COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_CO2(mol/kg),D_CO2(10^-8 m2/s),P_CO2(10^4 Barrer)
16055N2.cif,21.95248,21.69719,0.545051,1791.26,1.35895,0.725018,0,0.581818182,0.254545455,0,0.109090909,0,0,0.054545455,0,0,201,0.78515625,0.109090909,0.375272727,6.089822106,1.057582095,7.601847909
20050N2.cif,26.26799,26.02613,0.48873,2017.29,1.55558,0.722813,0,0.567164179,0.343283582,0.059701493,0.029850746,0,0,0,0,2,205,0.674342105,0.089552239,0.284179104,4.187545474,1.718398892,7.592643767
18112N2.cif,16.94837,16.60555,0.737921,1581.42,0.912564,0.718239,0,0.622222222,0.288888889,0.044444444,0.044444444,0,0,0,0,1,169,0.754464286,0.088888889,0.288,8.790057485,0.544530895,7.577180704
16361N2.cif,33.91137,33.75087,0.37311,2426.64,2.17995,0.776256,0,0.523809524,0.333333333,0.095238095,0.047619048,0,0,0,0,2,85,0.643939394,0.142857143,0.453333333,3.851562203,2.267654234,7.55562093
20671N2.cif,15.23076,14.98879,0.888223,1326.83,0.675664,0.658086,0,0.619047619,0.357142857,0.023809524,0,0,0,0,0,0,147,0.706730769,0.023809524,0.072380952,7.578555221,0.56890089,7.527352426
12012N2.cif,18.712,18.34894,0.667524,1603.48,1.03011,0.673584,0,0.554455446,0.277227723,0.03960396,0.079207921,0,0,0.03960396,0.00990099,0.5,329,0.734375,0.118811881,0.392871287,5.845241024,0.958203886,7.522003817
18140N2.cif,18.52351,17.97835,0.40444,3142.25,1.93913,0.756507,0,0.545454545,0.409090909,0.045454545,0,0,0,0,0,0,59,0.614583333,0.045454545,0.138181818,7.762035446,1.058870206,7.511037902
08030N2.cif,28.70553,28.52404,0.524353,1737.8,1.42408,0.735575,0,0.608695652,0.260869565,0,0.086956522,0,0,0.043478261,0,0,133,0.791666667,0.086956522,0.299130435,5.226694209,1.245000713,7.496558954
21392N2.cif,37.30939,37.1392,0.403371,1968.93,1.9989,0.750816,0,0.482758621,0.344827586,0.068965517,0.068965517,0,0.034482759,0,0,1,97,0.577380952,0.172413793,0.555862069,3.601196338,2.298885818,7.488881221
20320N2.cif,36.22341,36.02662,0.339306,2531.77,2.46132,0.795756,0,0.56,0.36,0.08,0,0,0,0,0,0,109,0.648809524,0.08,0.2432,4.202039182,2.206485472,7.477340914
16000N2.cif,33.55356,33.38092,0.444588,1902.97,1.76703,0.767511,0,0.64,0.24,0,0.08,0,0,0.04,0,0,157,0.817708333,0.08,0.2752,5.327240561,1.376928693,7.476023434
21631N2.cif,26.43382,26.25093,0.537292,1848.51,1.40721,0.750499,0,0.5,0.333333333,0.111111111,0.055555556,0,0,0,0,2,67,0.62037037,0.166666667,0.528888889,6.043348421,1.026351446,7.470484601
19455N2.cif,33.98261,33.56429,0.23879,3677.88,3.65752,0.847875,0,0.518072289,0.421686747,0.060240964,0,0,0,0,0,0,146.5,0.567829457,0.060240964,0.18313253,7.069647699,1.747316087,7.47019199
21101N2.cif,27.0837,27.01039,0.42443,2356.15,1.87616,0.753245,0,0.611111111,0.291666667,0.055555556,0,0.013888889,0.027777778,0,0,0,253,0.71875,0.083333333,0.279444444,5.637516254,1.387560506,7.469587495
