COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,N_H2S(mol/kg),D_CH4(10^-8m2/s),P_H2S(10^4Barrer)
linker110_C_linker36_C_uoc_relaxed.cif,17.85323,16.85697,0.246206,5897.31,3.54825,0.903011,1,0.529411765,0.411764706,0.058823529,0,0,0,0,0,673,0.584201389,0.058823529,0.178823529,70.95204622,0.812104741,41.46764556
linker110_C_linker37_C_dft_relaxed.cif,22.75307,18.54361,0.246552,5785.01,3.60532,0.889477,1,0.454545455,0.303030303,0.121212121,0.121212121,1,0,0,0,145,0.604166667,0.242424242,0.785454545,39.0751003,1.582426223,43.89424256
linker110_C_linker40_C_unc_relaxed.cif,16.97091,16.7377,0.277457,5801.39,3.12272,0.901381,1,0.548387097,0.322580645,0.064516129,0.064516129,1,0,0,0,185,0.680147059,0.129032258,0.418064516,64.50312043,0.71480248,37.32601229
linker110_C_linker58_C_wse_relaxed.cif,47.28119,21.45006,0.218679,4502.82,4.07072,0.906898,1,0.473684211,0.421052632,0.105263158,0,0,0,0,0,865,0.500578704,0.105263158,0.32,29.03322973,1.920211699,35.78909521
linker110_C_linker81_C_dia-a_relaxed.cif,27.4302,22.66178,0.18602,4789.4,4.86882,0.917256,1,0.473684211,0.421052632,0.105263158,0,0,0,0,0,289,0.501736111,0.105263158,0.32,20.65531358,3.259670026,37.18744725
linker110_C_linker89_C_sra_relaxed.cif,24.05087,21.24325,0.193754,6471.68,4.63577,0.927637,1,0.542857143,0.457142857,0,0,0,0,0,0,353,0.580592105,0,0,88.96095396,1.028252648,53.21924898
linker110_CH2_linker32_NH_qtz_relaxed.cif,17.22286,15.31853,0.162351,7551.42,5.65588,0.919211,1,0.395348837,0.465116279,0.139534884,0,0,0,0,0,133,0.325980392,0.139534884,0.424186047,15.10707028,4.742295134,34.60825825
linker110_CH2_linker60_NH_ana_relaxed.cif,23.25946,18.53195,0.20793,6808.24,4.28077,0.881225,1,0.371428571,0.514285714,0.114285714,0,0,0,0,0,289,0.231570513,0.114285714,0.347428571,20.74680449,2.649486268,32.60300153
linker110_CH2_linker69_NH_ana_relaxed.cif,22.40783,17.81274,0.221374,6500.08,4.01194,0.884494,1,0.382352941,0.470588235,0.117647059,0.029411765,4,0,0,0,385,0.30849359,0.147058824,0.458823529,74.72866739,0.895300655,42.40512788
linker110_CO_linker29_NH_dia_relaxed.cif,23.64515,18.9511,0.179619,6266.86,5.11027,0.908133,1,0.404255319,0.340425532,0.127659574,0.127659574,1,0,0,0,153,0.503289474,0.255319149,0.827234043,17.68439917,3.239437714,30.2484001
linker111_C_linker12_C_unj_relaxed.cif,23.607,23.15021,0.192253,6257.79,4.71545,0.920757,1,0.52173913,0.347826087,0,0.115942029,0,0,0,0.014492754,145,0.671296296,0.115942029,0.39884058,39.81806754,1.685608062,38.45879454
linker111_C_linker2_C_sra_relaxed.cif,25.57592,22.26898,0.161565,6935.51,5.68527,0.933698,1,0.571428571,0.380952381,0,0.031746032,0,0,0,0.015873016,385,0.668402778,0.031746032,0.109206349,34.29495986,2.387889316,39.98885219
linker111_C_linker35_C_dft_relaxed_interp_2.cif,26.59564,22.18746,0.185759,6877.31,4.88041,0.933054,1,0.592592593,0.345679012,0.049382716,0,0,0,0,0.012345679,529,0.688802083,0.049382716,0.150123457,61.41767292,1.363909707,46.99767299
linker111_C_linker42_C_lon_relaxed.cif,20.92182,16.78969,0.218443,6370.07,4.1034,0.922437,1,0.579710145,0.289855072,0.057971014,0.057971014,1,0,0,0.014492754,465,0.7265625,0.115942029,0.375652174,82.75207211,0.864879266,46.68205263
linker111_C_linker47_C_sod_relaxed.cif,28.363,16.81364,0.191058,6740.24,4.73752,0.927354,1,0.592592593,0.345679012,0.049382716,0,0,0,0,0.012345679,397,0.689236111,0.049382716,0.150123457,34.80140937,1.730598192,34.54177005
linker111_C_linker53_C_pcb_relaxed.cif,22.33411,16.80476,0.19839,7120.13,4.51141,0.906245,1,0.516129032,0.430107527,0.043010753,0,0,0,0,0.010752688,433,0.563802083,0.043010753,0.130752688,34.80123731,1.646480637,33.34705206
linker111_C_linker54_C_lta_relaxed.cif,48.02317,21.37186,0.172064,6441.34,5.33175,0.929731,1,0.545454545,0.311688312,0.051948052,0.077922078,0.666666667,0,0,0.012987013,697,0.691468254,0.12987013,0.425974026,37.91979386,2.01197084,39.50715083
